cliente,producto,precio,cantidad,pais,metodo_pago,fecha
Luisa,Teclado,610.0,2,Chile,transferencia,2024-01-02 01:00:00
Maria,Mouse,1509.0,4,Colombia,transferencia,2024-01-02 02:00:00
Ana,Teclado,1606.0,9,Chile,Tarjeta,2024-01-02 03:00:00
Ana,Teclado,1816.0,9,col,Tarjeta,2024-01-02 04:00:00
Carlos,Teclado,1639.0,4,col,Efectivo,2024-01-02 05:00:00
Carlos,Mouse,1852.0,9,chile,TRANSFERENCIA,2024-01-02 06:00:00
Juan,Laptop,548.0,3,peru,Efectivo,2024-02-01 00:00:00
Maria,Laptop,223.0,5,peru,Tarjeta,2024-01-02 08:00:00
Maria,Monitor,83.0,9,COL,transferencia,2024-01-02 09:00:00
Pedro,Monitor,70.0,6,Chile,transferencia,2024-01-02 10:00:00
Pedro,Mouse,707.0,3,col,Efectivo,2024-01-02 11:00:00
Pedro,Celular,1576.0,9,chile,transferencia,2024-01-02 12:00:00
Carlos,Laptop,1252.0,6,Colombia,Tarjeta,2024-01-02 13:00:00
Maria,Monitor,21.0,4,chile,Efectivo,2024-01-02 14:00:00
Maria,Laptop,823.0,4,Perú,TRANSFERENCIA,2024-01-02 15:00:00
Ana,Mouse,1448.0,8,Colombia,Tarjeta,2024-01-02 16:00:00
Carlos,Mouse,41.0,7,peru,Tarjeta,2024-01-02 17:00:00
Luisa,Celular,1193.0,1,Colombia,transferencia,2024-01-02 18:00:00
Carlos,Celular,1010.0,6,col,Tarjeta,2024-01-02 19:00:00
Luisa,Mouse,246.0,8,Chile,Tarjeta,2024-01-02 20:00:00
Ana,Monitor,1772.0,3,chile,TRANSFERENCIA,2024-01-02 21:00:00
Juan,Laptop,1214.0,9,COL,transferencia,2024-01-02 22:00:00
Maria,Teclado,1862.0,2,Chile,Tarjeta,2024-01-02 23:00:00
Ana,Celular,567.0,6,Perú,transferencia,2024-01-03 00:00:00
Maria,Teclado,1374.0,1,COL,Tarjeta,2024-01-03 01:00:00
Pedro,Monitor,1491.0,2,Perú,TRANSFERENCIA,2024-01-03 02:00:00
Juan,Celular,1113.0,5,Perú,transferencia,2024-01-03 03:00:00
Juan,Teclado,656.0,three,col,transferencia,2024-01-03 04:00:00
Ana,Monitor,1805.0,,col,TRANSFERENCIA,2024-01-03 00:00:00
Juan,Laptop,996.0,1,peru,Efectivo,2024-01-03 06:00:00
Luisa,Monitor,829.0,9,peru,Tarjeta,2024-01-03 07:00:00
Juan,Celular,1792.0,3,Perú,Tarjeta,2024-01-03 08:00:00
Maria,Mouse,482.0,2,Chile,Efectivo,2024-01-03 09:00:00
Maria,Laptop,1704.0,1,peru,transferencia,2024-01-03 10:00:00
Maria,Teclado,1748.0,9,col,transferencia,2024-01-03 11:00:00
Maria,Celular,121.0,4,peru,TRANSFERENCIA,2024-01-03 12:00:00
Luisa,Mouse,1325.0,1,Perú,TRANSFERENCIA,2024-01-03 13:00:00
Carlos,Monitor,1983.0,1,chile,TRANSFERENCIA,2024-01-03 14:00:00
Pedro,Mouse,1855.0,7,COL,Efectivo,2024-01-03 15:00:00
Ana,Celular,1664.0,2,Chile,Efectivo,2024-01-03 16:00:00
Maria,Celular,392.0,7,Chile,transferencia,2024-01-03 17:00:00
Juan,Mouse,26.0,7,Colombia,TRANSFERENCIA,2024-01-03 18:00:00
Maria,Monitor,502.0,9,peru,transferencia,2024-01-03 19:00:00
Juan,Mouse,1364.0,7,Chile,Efectivo,2024-01-03 20:00:00
Pedro,Celular,935.0,1,chile,Tarjeta,2024-01-03 21:00:00
Pedro,Celular,1772.0,8,chile,transferencia,2024-01-03 22:00:00
Pedro,Teclado,1906.0,8,col,Efectivo,2024-01-03 23:00:00
Juan,Teclado,1519.0,4,COL,TRANSFERENCIA,2024-01-04 00:00:00
Maria,Laptop,1439.0,8,col,Tarjeta,2024-01-04 01:00:00
Pedro,Celular,126.0,4,peru,Tarjeta,2024-01-04 02:00:00
Luisa,Teclado,1588.0,8,Perú,Tarjeta,2024-01-04 03:00:00
Juan,Mouse,889.0,5,chile,TRANSFERENCIA,2024-01-04 04:00:00
Juan,Monitor,124.0,4,chile,Tarjeta,2024-01-04 05:00:00
Maria,Mouse,1828.0,6,Colombia,Efectivo,2024-01-04 06:00:00
Juan,Monitor,1582.0,2,Colombia,transferencia,2024-01-04 07:00:00
Juan,Teclado,823.0,2,chile,Tarjeta,2024-01-04 08:00:00
Pedro,Laptop,1658.0,2,COL,Tarjeta,2024-01-04 09:00:00
Maria,Mouse,1580.0,9,Chile,Efectivo,2024-01-04 10:00:00
Pedro,Mouse,653.0,3,Chile,TRANSFERENCIA,2024-01-04 11:00:00
Pedro,Mouse,1369.0,4,chile,Tarjeta,2024-01-04 12:00:00
Maria,Monitor,345.0,8,Chile,Efectivo,2024-01-04 13:00:00
Ana,Teclado,931.0,4,Colombia,Efectivo,2024-01-04 14:00:00
Pedro,Mouse,,7,Perú,TRANSFERENCIA,2024-01-04 15:00:00
Luisa,Mouse,1773.0,5,Chile,TRANSFERENCIA,2024-01-04 16:00:00
Luisa,Laptop,156.0,9,col,transferencia,2024-01-04 17:00:00
Juan,Laptop,131.0,4,chile,Tarjeta,2024-01-04 18:00:00
Luisa,Teclado,90.0,3,Chile,transferencia,2024-01-04 19:00:00
Juan,Teclado,694.0,2,Perú,Efectivo,2024-01-04 20:00:00
Ana,Celular,1699.0,1,chile,Tarjeta,2024-01-04 21:00:00
Maria,Laptop,671.0,6,COL,Efectivo,2024-01-04 22:00:00
Maria,Celular,384.0,2,COL,Efectivo,2024-01-04 23:00:00
Maria,Monitor,1603.0,8,Colombia,Efectivo,2024-01-05 00:00:00
Luisa,Celular,72.0,6,Perú,TRANSFERENCIA,2024-01-05 01:00:00
Ana,Mouse,513.0,5,col,TRANSFERENCIA,2024-01-05 02:00:00
Luisa,Celular,677.0,2,Perú,Tarjeta,2024-01-05 03:00:00
Luisa,Teclado,458.0,7,col,Efectivo,2024-01-05 04:00:00
Ana,Monitor,1461.0,2,col,Efectivo,2024-01-05 05:00:00
Ana,Mouse,877.0,5,Perú,Tarjeta,2024-01-05 06:00:00
Ana,Celular,1460.0,2,chile,transferencia,2024-01-05 07:00:00
Ana,Monitor,1454.0,2,peru,Efectivo,2024-01-05 08:00:00
Maria,Monitor,1355.0,7,Perú,TRANSFERENCIA,2024-01-05 09:00:00
Carlos,Mouse,1946.0,9,chile,transferencia,2024-01-05 10:00:00
Carlos,Celular,689.0,5,col,transferencia,2024-01-05 11:00:00
Ana,Monitor,1199.0,7,chile,transferencia,2024-01-05 12:00:00
Carlos,Monitor,1630.0,4,chile,transferencia,2024-01-05 13:00:00
Carlos,Laptop,1990.0,2,Chile,transferencia,2024-05-01 00:00:00
Ana,Monitor,1682.0,3,COL,transferencia,2024-01-05 15:00:00
Carlos,Laptop,470.0,2,COL,Tarjeta,2024-01-05 16:00:00
Luisa,Celular,468.0,5,Colombia,Tarjeta,2024-01-05 17:00:00
Juan,Celular,1222.0,6,COL,transferencia,2024-01-05 18:00:00
Juan,Celular,473.0,7,peru,TRANSFERENCIA,2024-01-05 19:00:00
Ana,Teclado,921.0,3,col,Tarjeta,2024-01-05 20:00:00
Maria,Celular,388.0,4,Perú,Tarjeta,2024-01-05 21:00:00
Ana,Monitor,1035.0,8,Perú,transferencia,2024-01-05 22:00:00
Maria,Mouse,1651.0,4,peru,TRANSFERENCIA,2024-01-05 23:00:00
Juan,Laptop,373.0,7,COL,transferencia,2024-01-06 00:00:00
Ana,Teclado,81.0,6,col,TRANSFERENCIA,2024-01-06 01:00:00
Pedro,Celular,1460.0,7,COL,TRANSFERENCIA,2024-01-06 02:00:00
Luisa,Celular,647.0,1,chile,Efectivo,2024-01-06 03:00:00
Carlos,Mouse,1203.0,3,Colombia,Tarjeta,2024-01-06 04:00:00
Maria,Mouse,1238.0,6,COL,transferencia,2024-01-06 05:00:00
Pedro,Teclado,1858.0,,Colombia,Tarjeta,2024-01-06 06:00:00
Carlos,Laptop,346.0,7,Perú,Tarjeta,2024-01-06 07:00:00
Carlos,Celular,,9,col,TRANSFERENCIA,2024-01-06 08:00:00
Ana,Teclado,204.0,3,Chile,Tarjeta,2024-01-06 09:00:00
Carlos,Monitor,1703.0,1,chile,Efectivo,2024-01-06 10:00:00
Luisa,Monitor,1021.0,6,Colombia,transferencia,2024-01-06 11:00:00
Pedro,Teclado,662.0,1,COL,Tarjeta,2024-01-06 00:00:00
Carlos,Celular,1308.0,1,chile,transferencia,2024-01-06 13:00:00
Ana,Teclado,16.0,8,COL,Tarjeta,2024-01-06 14:00:00
Luisa,Celular,914.0,9,chile,transferencia,2024-01-06 15:00:00
Juan,Mouse,988.0,2,Perú,transferencia,2024-01-06 16:00:00
Pedro,Teclado,575.0,9,peru,transferencia,2024-01-06 17:00:00
Carlos,Celular,625.0,5,chile,Tarjeta,2024-01-06 18:00:00
Ana,Teclado,1887.0,8,Chile,Efectivo,2024-01-06 19:00:00
Juan,Teclado,1883.0,7,peru,transferencia,2024-01-06 20:00:00
Juan,Celular,582.0,7,COL,TRANSFERENCIA,2024-01-06 21:00:00
Maria,Celular,608.0,4,peru,TRANSFERENCIA,2024-01-06 22:00:00
Luisa,Laptop,779.0,2,chile,TRANSFERENCIA,2024-01-06 23:00:00
Carlos,Teclado,1211.0,5,Chile,Efectivo,2024-01-07 00:00:00
Ana,Monitor,251.0,3,Chile,transferencia,2024-01-07 01:00:00
Maria,Teclado,1236.0,9,col,Efectivo,2024-01-07 02:00:00
Luisa,Teclado,1576.0,6,peru,transferencia,2024-01-07 03:00:00
Maria,Celular,1834.0,1,col,Efectivo,2024-01-07 04:00:00
Pedro,Teclado,1495.0,3,COL,transferencia,2024-01-07 05:00:00
Luisa,Teclado,1113.0,4,COL,TRANSFERENCIA,2024-01-07 06:00:00
Luisa,Monitor,1556.0,9,COL,transferencia,2024-01-07 07:00:00
Carlos,Celular,1450.0,6,Perú,Efectivo,2024-07-01 00:00:00
Luisa,Teclado,775.0,4,peru,transferencia,2024-01-07 09:00:00
Maria,Mouse,393.0,1,Colombia,Tarjeta,2024-01-07 10:00:00
Luisa,Laptop,400.0,8,Chile,transferencia,2024-01-07 11:00:00
Carlos,Monitor,905.0,2,Colombia,TRANSFERENCIA,2024-01-07 12:00:00
Carlos,Teclado,1832.0,8,COL,transferencia,2024-01-07 13:00:00
Pedro,Mouse,697.0,6,chile,Tarjeta,2024-01-07 14:00:00
Maria,Teclado,1159.0,8,chile,Tarjeta,2024-01-07 15:00:00
Juan,Teclado,1527.0,6,peru,Tarjeta,2024-01-07 16:00:00
Juan,Celular,56.0,5,chile,Efectivo,2024-01-07 17:00:00
Luisa,Celular,1751.0,5,col,Tarjeta,2024-01-07 18:00:00
Pedro,Celular,1509.0,8,Colombia,Efectivo,2024-01-07 19:00:00
Ana,Mouse,1982.0,7,chile,Tarjeta,2024-01-07 20:00:00
Luisa,Teclado,628.0,8,COL,Efectivo,2024-01-07 21:00:00
Pedro,Laptop,473.0,8,Colombia,Tarjeta,2024-01-07 22:00:00
Maria,Monitor,1820.0,7,Colombia,Tarjeta,2024-01-07 23:00:00
Maria,Celular,1882.0,2,Chile,transferencia,2024-01-08 00:00:00
Maria,Celular,132.0,9,Colombia,Tarjeta,2024-01-08 01:00:00
Maria,Teclado,1507.0,7,COL,transferencia,2024-01-08 02:00:00
Maria,Teclado,143.0,6,Chile,Tarjeta,2024-01-08 03:00:00
Pedro,Mouse,1652.0,9,COL,Tarjeta,2024-01-08 04:00:00
Pedro,Mouse,1850.0,1,Perú,transferencia,2024-01-08 05:00:00
Carlos,Celular,850.0,2,chile,transferencia,2024-01-08 06:00:00
Juan,Teclado,1595.0,1,Perú,Efectivo,2024-01-08 07:00:00
Maria,Laptop,858.0,3,chile,TRANSFERENCIA,2024-01-08 08:00:00
Ana,Monitor,616.0,5,Perú,transferencia,2024-01-08 09:00:00
Pedro,Teclado,1813.0,1,Colombia,Efectivo,2024-01-08 10:00:00
Ana,Teclado,32.0,4,peru,Tarjeta,2024-01-08 11:00:00
Ana,Mouse,575.0,8,COL,transferencia,2024-01-08 12:00:00
Ana,Monitor,1919.0,6,Perú,transferencia,2024-01-08 13:00:00
Carlos,Celular,775.0,1,peru,Tarjeta,2024-01-08 14:00:00
Pedro,Teclado,974.0,1,Perú,Tarjeta,2024-01-08 15:00:00
Ana,Celular,244.0,3,chile,Tarjeta,2024-01-08 16:00:00
Maria,Teclado,1005.0,8,Perú,Tarjeta,2024-01-08 17:00:00
Luisa,Celular,1092.0,8,peru,TRANSFERENCIA,2024-01-08 18:00:00
Ana,Monitor,1197.0,3,Perú,transferencia,2024-08-01 00:00:00
Carlos,Mouse,1804.0,7,Colombia,Tarjeta,2024-01-08 20:00:00
Pedro,Monitor,835.0,3,Colombia,Tarjeta,2024-01-08 21:00:00
Carlos,Laptop,225.0,4,Chile,TRANSFERENCIA,2024-01-08 22:00:00
Ana,Mouse,1216.0,9,Colombia,transferencia,2024-01-08 23:00:00
Pedro,Monitor,1602.0,4,col,Efectivo,2024-01-09 00:00:00
Luisa,Laptop,666.0,3,Chile,transferencia,2024-01-09 01:00:00
Ana,Teclado,944.0,5,Perú,Efectivo,2024-01-09 02:00:00
Carlos,Teclado,1123.0,7,col,TRANSFERENCIA,2024-01-09 03:00:00
Juan,Celular,1997.0,5,COL,Tarjeta,2024-01-09 04:00:00
Maria,Mouse,320.0,4,peru,TRANSFERENCIA,2024-01-09 05:00:00
Carlos,Teclado,566.0,8,COL,transferencia,2024-01-09 06:00:00
Pedro,Mouse,981.0,4,col,Tarjeta,2024-01-09 07:00:00
Ana,Teclado,266.0,2,Colombia,transferencia,2024-01-09 08:00:00
Maria,Celular,542.0,6,chile,Efectivo,2024-01-09 09:00:00
Ana,Monitor,1566.0,2,Perú,transferencia,2024-01-09 10:00:00
Pedro,Celular,61.0,3,Chile,TRANSFERENCIA,2024-01-09 11:00:00
Ana,Laptop,1371.0,1,chile,TRANSFERENCIA,2024-01-09 12:00:00
Juan,Teclado,1204.0,5,chile,TRANSFERENCIA,2024-09-01 00:00:00
Maria,Laptop,1981.0,9,Perú,Tarjeta,2024-01-09 14:00:00
Maria,Laptop,1100.0,2,Colombia,transferencia,2024-09-01 00:00:00
Pedro,Mouse,1658.0,7,Perú,Tarjeta,2024-01-09 16:00:00
Juan,Teclado,309.0,5,peru,transferencia,2024-01-09 17:00:00
Carlos,Laptop,681.0,2,chile,Efectivo,2024-01-09 18:00:00
Ana,Monitor,787.0,8,peru,transferencia,2024-01-09 19:00:00
Luisa,Laptop,841.0,6,peru,transferencia,2024-01-09 20:00:00
Ana,Monitor,241.0,4,COL,transferencia,2024-01-09 21:00:00
Ana,Mouse,984.0,4,Colombia,transferencia,2024-01-09 22:00:00
Carlos,Laptop,1870.0,2,peru,Efectivo,2024-01-09 23:00:00
Ana,Celular,1101.0,3,col,Tarjeta,2024-01-10 00:00:00
Juan,Mouse,1539.0,7,peru,TRANSFERENCIA,2024-01-10 01:00:00
Juan,Monitor,37.0,3,Chile,transferencia,2024-01-10 02:00:00
Maria,Mouse,1982.0,5,COL,TRANSFERENCIA,2024-01-10 03:00:00
Pedro,Laptop,1661.0,6,col,TRANSFERENCIA,2024-01-10 04:00:00
Luisa,Teclado,1084.0,6,chile,TRANSFERENCIA,2024-01-10 05:00:00
Ana,Teclado,1726.0,4,Colombia,TRANSFERENCIA,2024-01-10 06:00:00
Ana,Monitor,1293.0,6,Colombia,transferencia,2024-01-10 07:00:00
Carlos,Monitor,600.0,3,Chile,TRANSFERENCIA,2024-01-10 08:00:00
Pedro,Teclado,794.0,7,chile,transferencia,2024-01-10 09:00:00
Juan,Monitor,629.0,7,peru,Efectivo,2024-01-10 10:00:00
Luisa,Mouse,1996.0,4,col,Tarjeta,2024-01-10 11:00:00
Maria,Celular,595.0,2,Chile,Tarjeta,2024-01-10 12:00:00
Juan,Celular,1720.0,7,col,transferencia,2024-01-10 13:00:00
Pedro,Mouse,1011.0,3,peru,transferencia,2024-01-10 14:00:00
Maria,Celular,193.0,1,chile,Tarjeta,2024-01-10 15:00:00
Carlos,Laptop,1056.0,2,peru,TRANSFERENCIA,2024-01-10 16:00:00
Carlos,Mouse,1819.0,9,Perú,transferencia,2024-01-10 17:00:00
Ana,Monitor,138.0,8,Perú,TRANSFERENCIA,2024-01-10 18:00:00
Pedro,Mouse,300.0,6,peru,transferencia,2024-10-01 00:00:00
Luisa,Teclado,1865.0,6,COL,transferencia,2024-01-10 20:00:00
Maria,Monitor,510.0,1,Chile,Efectivo,2024-01-10 21:00:00
Juan,Teclado,195.0,2,Perú,Efectivo,2024-01-10 22:00:00
Pedro,Monitor,488.0,4,peru,Tarjeta,2024-01-10 23:00:00
Pedro,Celular,1604.0,3,col,Efectivo,2024-01-11 00:00:00
Carlos,Mouse,501.0,1,Chile,Efectivo,2024-01-11 01:00:00
Ana,Laptop,,8,chile,Tarjeta,2024-01-11 02:00:00
Ana,Monitor,1676.0,7,Perú,TRANSFERENCIA,2024-01-11 03:00:00
Maria,Monitor,1100.0,4,chile,Efectivo,2024-01-11 04:00:00
Carlos,Teclado,1838.0,9,COL,TRANSFERENCIA,2024-01-11 05:00:00
Pedro,Celular,476.0,4,Chile,Tarjeta,2024-01-11 06:00:00
Luisa,Teclado,294.0,1,Chile,transferencia,2024-01-11 07:00:00
Carlos,Teclado,610.0,1,Colombia,TRANSFERENCIA,2024-01-11 08:00:00
Maria,Celular,1450.0,1,col,Tarjeta,2024-01-11 09:00:00
Maria,Laptop,1133.0,1,COL,TRANSFERENCIA,2024-01-11 10:00:00
Carlos,Teclado,198.0,4,COL,Tarjeta,2024-01-11 11:00:00
Maria,Teclado,998.0,1,chile,Tarjeta,2024-01-11 12:00:00
Carlos,Monitor,899.0,2,COL,transferencia,2024-01-11 13:00:00
Juan,Celular,1891.0,4,col,TRANSFERENCIA,2024-01-11 14:00:00
Carlos,Mouse,397.0,7,COL,transferencia,2024-01-11 15:00:00
Carlos,Laptop,250.0,2,Colombia,transferencia,2024-01-11 16:00:00
Maria,Laptop,1815.0,three,Perú,TRANSFERENCIA,2024-01-11 17:00:00
Maria,Celular,1764.0,7,col,TRANSFERENCIA,2024-01-11 18:00:00
Ana,Monitor,426.0,9,COL,Tarjeta,2024-01-11 00:00:00
Ana,Monitor,1951.0,6,peru,TRANSFERENCIA,2024-01-11 20:00:00
Juan,Celular,185.0,4,Perú,Tarjeta,2024-01-11 21:00:00
Ana,Monitor,396.0,6,chile,Tarjeta,2024-01-11 22:00:00
Carlos,Laptop,1504.0,4,Chile,Tarjeta,2024-01-11 23:00:00
Maria,Laptop,862.0,7,col,Tarjeta,2024-01-12 00:00:00
Ana,Mouse,1266.0,9,peru,Tarjeta,2024-01-12 01:00:00
Ana,Celular,672.0,3,Chile,Tarjeta,2024-01-12 02:00:00
Juan,Teclado,461.0,3,peru,TRANSFERENCIA,2024-01-12 03:00:00
Pedro,Teclado,286.0,2,COL,TRANSFERENCIA,2024-01-12 04:00:00
Juan,Mouse,1262.0,1,col,Efectivo,2024-01-12 05:00:00
Carlos,Mouse,1204.0,1,chile,TRANSFERENCIA,2024-01-12 06:00:00
Maria,Monitor,1768.0,3,COL,transferencia,2024-01-12 07:00:00
Juan,Mouse,222.0,7,Chile,Efectivo,2024-01-12 08:00:00
Ana,Mouse,1315.0,9,chile,TRANSFERENCIA,2024-01-12 09:00:00
Maria,Teclado,50.0,2,Colombia,transferencia,2024-01-12 10:00:00
Maria,Monitor,1155.0,7,peru,TRANSFERENCIA,2024-01-12 11:00:00
Ana,Mouse,1260.0,1,Colombia,Tarjeta,2024-01-12 12:00:00
Juan,Mouse,303.0,2,Chile,Efectivo,2024-01-12 13:00:00
Ana,Monitor,609.0,6,COL,Tarjeta,2024-01-12 00:00:00
Pedro,Celular,1300.0,5,chile,Efectivo,2024-01-12 15:00:00
Maria,Monitor,550.0,8,chile,Efectivo,2024-01-12 00:00:00
Luisa,Teclado,1792.0,,chile,Tarjeta,2024-01-12 17:00:00
Luisa,Celular,1861.0,1,Perú,Efectivo,2024-01-12 18:00:00
Carlos,Laptop,460.0,7,peru,Efectivo,2024-01-12 19:00:00
Ana,Monitor,1482.0,6,Perú,TRANSFERENCIA,2024-01-12 20:00:00
Ana,Teclado,1789.0,8,col,transferencia,2024-01-12 21:00:00
Carlos,Celular,1094.0,8,peru,Tarjeta,2024-01-12 22:00:00
Carlos,Monitor,1535.0,2,Colombia,TRANSFERENCIA,2024-01-12 23:00:00
Carlos,Mouse,1180.0,8,Perú,TRANSFERENCIA,2024-01-13 00:00:00
Maria,Monitor,1719.0,6,Chile,Tarjeta,2024-01-13 01:00:00
Pedro,Laptop,1978.0,9,col,Efectivo,2024-01-13 02:00:00
Ana,Monitor,799.0,7,peru,Tarjeta,2024-01-13 03:00:00
Maria,Celular,343.0,2,chile,transferencia,2024-01-13 04:00:00
Carlos,Celular,1914.0,8,Chile,transferencia,2024-01-13 05:00:00
Ana,Monitor,1986.0,9,col,Tarjeta,2024-01-13 06:00:00
Maria,Celular,900.0,7,Colombia,TRANSFERENCIA,2024-01-13 07:00:00
Pedro,Mouse,1175.0,4,chile,Tarjeta,2024-01-13 08:00:00
Maria,Monitor,53.0,9,Chile,transferencia,2024-01-13 09:00:00
Pedro,Mouse,153.0,4,peru,Tarjeta,2024-01-13 10:00:00
Carlos,Mouse,1898.0,4,col,Efectivo,2024-01-13 11:00:00
Pedro,Teclado,342.0,9,COL,Tarjeta,2024-01-13 12:00:00
Ana,Monitor,1007.0,8,peru,TRANSFERENCIA,2024-01-13 13:00:00
Carlos,Celular,1530.0,4,peru,Efectivo,2024-01-13 00:00:00
Ana,Mouse,1429.0,8,chile,transferencia,2024-01-13 15:00:00
Luisa,Teclado,64.0,8,peru,Tarjeta,2024-01-13 16:00:00
Juan,Monitor,1340.0,7,chile,TRANSFERENCIA,2024-01-13 17:00:00
Pedro,Monitor,879.0,6,peru,TRANSFERENCIA,2024-01-13 18:00:00
Juan,Laptop,1456.0,8,COL,transferencia,2024-01-13 19:00:00
Juan,Laptop,1450.0,7,Chile,Tarjeta,2024-01-13 20:00:00
Pedro,Mouse,1706.0,5,Chile,TRANSFERENCIA,2024-01-13 21:00:00
Carlos,Laptop,806.0,4,Chile,Efectivo,2024-01-13 00:00:00
Luisa,Mouse,334.0,2,Colombia,Tarjeta,2024-01-13 23:00:00
Ana,Celular,1743.0,8,COL,transferencia,2024-01-14 00:00:00
Maria,Mouse,1704.0,9,COL,Efectivo,2024-01-14 01:00:00
Ana,Laptop,89.0,4,col,Tarjeta,2024-01-14 02:00:00
Maria,Celular,1064.0,4,Perú,TRANSFERENCIA,2024-01-14 03:00:00
Ana,Laptop,994.0,5,Chile,transferencia,2024-01-14 04:00:00
Pedro,Mouse,1145.0,2,Perú,transferencia,2024-01-14 05:00:00
Luisa,Teclado,567.0,7,col,Tarjeta,2024-01-14 06:00:00
Maria,Monitor,874.0,5,COL,transferencia,2024-01-14 07:00:00
Carlos,Laptop,726.0,6,col,Efectivo,2024-01-14 08:00:00
Ana,Mouse,1597.0,4,peru,Tarjeta,2024-01-14 09:00:00
Ana,Celular,1683.0,8,col,Efectivo,2024-01-14 10:00:00
Maria,Laptop,481.0,8,col,transferencia,2024-01-14 11:00:00
Carlos,Laptop,83.0,5,chile,transferencia,2024-01-14 12:00:00
Carlos,Monitor,1586.0,6,peru,transferencia,2024-01-14 13:00:00
Pedro,Mouse,1512.0,3,chile,Efectivo,2024-01-14 14:00:00
Pedro,Teclado,598.0,1,Perú,transferencia,2024-01-14 15:00:00
Pedro,Celular,1420.0,9,peru,Tarjeta,2024-01-14 00:00:00
Pedro,Mouse,1732.0,9,Colombia,TRANSFERENCIA,2024-01-14 17:00:00
Pedro,Celular,1915.0,3,col,Tarjeta,2024-01-14 00:00:00
Pedro,Laptop,573.0,4,col,TRANSFERENCIA,2024-01-14 19:00:00
Luisa,Monitor,1963.0,7,chile,transferencia,2024-01-14 20:00:00
Carlos,Monitor,1466.0,2,Perú,Tarjeta,2024-01-14 21:00:00
Pedro,Teclado,1445.0,3,chile,Efectivo,2024-01-14 22:00:00
Carlos,Monitor,476.0,6,COL,TRANSFERENCIA,2024-01-14 23:00:00
Carlos,Laptop,608.0,8,peru,Efectivo,2024-01-15 00:00:00
Juan,Teclado,1654.0,1,COL,TRANSFERENCIA,2024-01-15 01:00:00
Luisa,Mouse,1001.0,4,Colombia,transferencia,2024-01-15 02:00:00
Pedro,Monitor,1942.0,1,peru,Tarjeta,2024-01-15 03:00:00
Ana,Teclado,746.0,2,Colombia,TRANSFERENCIA,2024-01-15 04:00:00
Maria,Laptop,1003.0,8,Colombia,Tarjeta,2024-01-15 05:00:00
Ana,Celular,257.0,6,Colombia,TRANSFERENCIA,2024-01-15 06:00:00
Luisa,Celular,1614.0,9,Chile,TRANSFERENCIA,2024-01-15 07:00:00
Maria,Laptop,1153.0,2,peru,transferencia,2024-01-15 08:00:00
Luisa,Laptop,76.0,3,peru,TRANSFERENCIA,2024-01-15 09:00:00
Carlos,Celular,582.0,9,Chile,Efectivo,2024-01-15 10:00:00
Maria,Teclado,1989.0,9,Perú,TRANSFERENCIA,2024-01-15 11:00:00
Carlos,Celular,1360.0,6,Chile,TRANSFERENCIA,2024-01-15 12:00:00
Ana,Laptop,1953.0,3,col,TRANSFERENCIA,2024-01-15 13:00:00
Ana,Monitor,712.0,5,COL,transferencia,2024-01-15 14:00:00
Maria,Mouse,479.0,2,COL,Tarjeta,2024-01-15 15:00:00
Maria,Monitor,502.0,7,Colombia,Tarjeta,2024-01-15 16:00:00
Pedro,Monitor,1734.0,8,peru,transferencia,2024-01-15 17:00:00
Luisa,Laptop,672.0,6,peru,Efectivo,2024-01-15 18:00:00
